objet_mission,nombre_employés,destination,durée_mission,cout_mission,successeful
"Product launch",80,"Paris",4,4500000,1
"Team building",12,"Las Vegas",1,700000,1
"Customer summit",250,"New York",5,7000000,1
"Sales meeting",5,"London",1,80000,0
"Trade show",60,"Shanghai",4,5000000,1
"Partner conference",80,"Las Vegas",3,3000000,1
"Industry conference",300,"Singapore",5,9000000,0
"Training workshop",15,"Dubai",2,500000,1
"Product demo",4,"San Francisco",1,300000,0
"Corporate retreat",40,"Bali",4,3000000,1
"Product launch",150,"London",3,6000000,1
"Team building",8,"Las Vegas",1,300000,1
"Customer conference",400,"Orlando",5,12000000,1
"Sales meeting",3,"New York",1,50000,0
"Trade show",120,"Tokyo",4,6000000,1
"Partner summit",200,"Berlin",3,4000000,1
"Industry conference",500,"Hong Kong",5,15000000,0
"Training session",20,"Dubai",2,1000000,1
"Product demo",7,"San Francisco",1,500000,0
"Corporate retreat",50,"Bali",4,4000000,1
20,10,2,600000,1
5,1,1,100,0
20,11,3,8000,1
50,12,1,200000,1
15,13,2,500000,1
100,14,4,3000000,0
25,15,5,2000000,1
75,16,3,2500000,1
30,17,2,600000,1
10,18,1,400000,0
8,19,5,5000000,1
200,20,3,5000000,0
75,2,5,5000000,1
30,4,2,1000000,1
150,21,3,4000000,1
10,6,1,200000,0
50,7,4,3000000,1
75,22,3,2500000,1
200,8,5,5000000,0
20,9,2,800000,1
5,3,1,400000,0
25,23,4,2000000,1
100,5,3,4000000,1
15,4,1,500000,1
200,2,4,6000000,1
5,10,1,100000,0
75,14,5,7000000,1
100,24,3,3500000,1
250,10,5,8000000,0
10,9,2,600000,1
3,3,1,200000,0
20,23,4,1500000,1
8,11,3,500000,1
25,4,4,2000000,1
12,13,2,800000,1
18,25,3,900000,1
5,12,2,700000,0
15,26,5,1500000,1
10,27,2,600000,1
6,18,1,200000,0
30,1,4,3000000,1
50,2,3,2500000,0
4,3,2,300000,1
30,4,4,2000000,1
100,5,5,3500000,0
2,6,1,150000,1
15,7,3,900000,1
50,8,4,3000000,1
10,9,2,500000,1
3,10,1,200000,0
8,11,2,400000,1
6,3,3,700000,0
50,2,2,2000000,1
10,4,1,500000,1
300,12,5,8000000,1
8,2,1,150000,0
100,13,4,4000000,1
150,14,3,5000000,1
400,15,5,10000000,0
25,16,3,1200000,1
2,17,1,100000,0
30,18,4,2500000,1
2,19,1,200000,1
40,20,3,1500000,1
20,21,2,800000,1
5,9,1,50000,0
12,22,4,1200000,1
30,23,3,2500000,0
8,24,2,400000,1
4,11,1,150000,0
3,6,1,400000,1
10,25,2,600000,1
80,5,4,4500000,1
12,4,1,700000,1
250,2,5,7000000,1
5,8,1,80000,0
60,26,4,5000000,1
80,27,3,3000000,1
300,23,5,9000000,0
15,9,2,500000,1
4,3,1,300000,0
50,28,4,4000000,1
150,2,3,6000000,1
8,4,1,300000,1
400,12,5,12000000,1
3,29,1,50000,0
120,13,4,6000000,1
200,14,3,4000000,1
500,15,5,15000000,0
20,16,2,1000000,1
7,17,1,500000,0
50,18,4,4000000,1
150,20,2,2000000,1
300,19,4,5000000,0
75,22,3,3000000,1
250,18,5,7000000,1
30,16,1,1000000,0
450,21,4,9000000,1
100,17,2,2500000,0
175,19,3,3500000,1
400,20,5,12000000,0
50,15,2,1500000,1
80,18,2,1800000,0
300,22,4,8000000,1
200,17,4,4500000,0
25,14,1,500000,1
600,23,5,20000000,1
120,16,3,3000000,0
90,19,2,2200000,1
50,14,3,2000000,0
150,21,4,6000000,1
350,18,5,10000000,0
80,16,2,1400000,1
250,20,3,5500000,0
40,13,1,800000,0
500,22,5,15000000,1
70,17,2,2000000,1
200,19,4,7000000,0
125,15,3,4000000,1
90,18,2,2500000,0
300,20,5,11000000,1
150,16,3,3500000,0
20,12,1,200000,0
400,23,5,18000000,1
100,18,3,2800000,0
60,17,1,1000000,1
175,20,4,5000000,0
250,21,5,13000000,1
50,13,2,1200000,1
300,19,3,4500000,0
90,16,2,1800000,1
175,21,3,6000000,1
400,22,5,16000000,0
70,15,2,1500000,0
120,18,3,3500000,1
200,20,4,8000000,0
30,14,1,500000,1
500,23,5,22000000,1
100,17,3,3000000,0
50,15,1,800000,1
250,18,4,6500000,0
150,19,3,5000000,1
300,20,4,10000000,0
75,23,2,2500000,1
250,19,5,8000000,1
30,15,1,700000,0
450,22,4,12000000,1
100,18,2,2000000,0
175,20,3,4000000,1
400,21,5,17000000,0
50,14,2,1700000,1
80,17,2,1600000,0
300,23,4,9000000,1
200,18,4,5500000,0
25,13,1,400000,1
600,24,5,25000000,1
120,17,3,2500000,0
90,20,2,3000000,1
50,14,3,1800000,0
150,22,4,7000000,1
350,19,5,11000000,0
80,15,2,1300000,1
250,21,3,6000000,0
40,12,1,150000,0
500,24,5,20000000,1
70,18,2,2200000,1
200,20,3,6000000,0
125,16,3,5000000,1
90,19,2,2300000,0
300,21,5,13000000,1
150,15,3,4000000,0
20,11,1,100000,0
400,25,5,23000000,1
100,19,3,3500000,0
60,18,1,900000,1
175,21,4,5500000,0
250,22,5,14000000,1
50,12,2,900000,1
300,20,3,5000000,0
90,17,2,1700000,1
175,22,3,8000000,1
400,23,5,19000000,0
70,14,2,1200000,0
120,19,3,3000000,1
200,21,4,9000000,0
30,13,1,300000,1
500,25,5,27000000,1
100,18,3,3200000,0
50,16,1,600000,1
250,19,4,7500000,0
150,20,3,4500000,1
300,21,4,11000000,0
75,24,2,2800000,1
250,20,5,9000000,1
30,16,1,600000,0
450,23,4,13000000,1
100,19,2,1800000,0
175,21,3,5000000,1
400,22,5,19000000,0
50,15,2,1300000,1
80,18,2,1900000,0
300,24,4,10000000,1
200,19,4,6000000,0
25,14,1,300000,1
600,25,5,30000000,1
120,18,3,2800000,0
90,21,2,3500000,1
50,15,3,2200000,0
150,23,4,8000000,1
350,20,5,12000000,0
80,16,2,1700000,1
250,22,3,7000000,0
40,11,1,120000,0
500,26,5,25000000,1
70,19,2,2500000,1
200,21,3,7000000,0
125,17,3,4500000,1
90,20,2,2800000,0
300,22,5,14000000,1
150,16,3,3800000,0
20,10,1,50000,0
400,26,5,28000000,1
100,20,3,3800000,0
60,19,1,800000,1
175,22,4,6000000,0
250,23,5,16000000,1
50,11,2,700000,1
300,21,3,5500000,0
90,18,2,1900000,1
175,23,3,7000000,1
400,24,5,21000000,0
70,13,2,1100000,0
120,20,3,3200000,1
200,22,4,10000000,0
30,12,1,200000,1
500,26,5,29000000,1
100,19,3,4000000,0
50,17,1,500000,1
250,20,4,8000000,0
150,22,3,5500000,1
300,23,4,13000000,0
75,25,2,3200000,1
250,21,5,10000000,1
30,17,1,400000,0
450,24,4,15000000,1
100,20,2,2200000,0
175,22,3,6000000,1
400,23,5,22000000,0
50,16,2,1500000,1
80,19,2,2200000,0
300,25,4,11000000,1
200,20,4,6500000,0
25,15,1,350000,1
600,26,5,32000000,1
120,19,3,3000000,0
90,22,2,3800000,1
50,16,3,2000000,0
150,24,4,9000000,1
350,21,5,13000000,0
80,17,2,1500000,1
250,23,3,8000000,0
40,10,1,100000,0
500,27,5,30000000,1
70,20,2,2800000,1
200,22,3,7500000,0
125,18,3,5000000,1
90,21,2,2600000,0
300,23,5,16000000,1
150,17,3,4200000,0
20,9,1,50000,0
400,27,5,32000000,1
100,21,3,4000000,0
60,20,1,700000,1
175,23,4,6500000,0
250,24,5,17000000,1
50,10,2,800000,1
300,22,3,6000000,0
90,19,2,2000000,1
175,24,3,7500000,1
400,25,5,24000000,0
70,12,2,1000000,0
120,21,3,3400000,1
200,23,4,11000000,0
30,11,1,150000,1
500,27,5,31000000,1
100,20,3,4200000,0
50,18,1,700000,1
250,21,4,8500000,0
150,23,3,6000000,1
300,24,4,15000000,0
75,26,2,3500000,1
250,22,5,11000000,1
30,18,1,500000,0
450,25,4,17000000,1
100,21,2,2500000,0
175,23,3,7000000,1
400,24,5,25000000,0
50,17,2,1600000,1
80,20,2,2500000,0
300,26,4,12000000,1
200,21,4,7000000,0
25,16,1,400000,1
600,27,5,33000000,1
120,20,3,3200000,0
90,23,2,4000000,1
50,17,3,2500000,0
150,25,4,10000000,1
350,22,5,14000000,0
80,18,2,2000000,1
250,24,3,9000000,0
40,9,1,80000,0
500,28,5,34000000,1
70,21,2,3000000,1
200,23,3,8000000,0
125,19,3,5500000,1
90,22,2,3000000,0
300,24,5,18000000,1
150,18,3,4000000,0
20,8,1,50000,0
400,28,5,34000000,1
100,22,3,4500000,0
60,21,1,600000,1
175,24,4,7000000,0
250,25,5,19000000,1
50,9,2,900000,1
300,23,3,6500000,0
90,20,2,2200000,1
175,25,3,8000000,1
400,26,5,26000000,0
70,11,2,900000,0
120,22,3,3600000,1
200,24,4,12000000,0
30,10,1,100000,1
500,29,5,37000000,1
100,21,3,4500000,0
50,19,1,600000,1
250,22,4,9000000,0
150,24,3,6500000,1
300,25,4,17000000,0
75,27,2,3800000,1
250,23,5,12000000,1
30,19,1,600000,0
450,26,4,19000000,1
100,22,2,2800000,0
175,24,3,7500000,1
400,25,5,28000000,0
50,18,2,1700000,1
80,21,2,2800000,0
300,27,4,13000000,1
200,22,4,7500000,0
25,17,1,450000,1
600,28,5,35000000,1
120,21,3,3500000,0
90,24,2,4200000,1
50,18,3,2300000,0
150,26,4,11000000,1
350,23,5,15000000,0
80,19,2,1800000,1
250,25,3,10000000,0
40,8,1,90000,0
500,30,5,38000000,1
70,22,2,3200000,1
200,24,3,8500000,0
125,20,3,6000000,1
90,23,2,3400000,0
300,25,5,20000000,1
150,19,3,4200000,0
20,7,1,40000,0
400,29,5,36000000,1
100,23,3,4800000,0
60,22,1,900000,1
175,25,4,6500000,0
250,26,5,21000000,1
50,8,2,1000000,1
300,24,3,7000000,0
90,21,2,2500000,1
175,26,3,8500000,1
400,27,5,30000000,0
70,10,2,1200000,0
120,23,3,3800000,1
200,25,4,13000000,0
30,9,1,80000,1
500,31,5,40000000,1
100,22,3,4800000,0
50,20,1,800000,1
250,23,4,9500000,0
150,25,3,7000000,1
300,26,4,19000000,0
75,28,2,4100000,1
250,24,5,13000000,1
30,20,1,700000,0
450,27,4,21000000,1
100,23,2,3100000,0
175,25,3,8000000,1
400,26,5,31000000,0
50,19,2,1800000,1
80,22,2,3100000,0
300,28,4,14000000,1
200,23,4,8000000,0
25,18,1,500000,1
600,29,5,37000000,1
120,22,3,3800000,0
90,25,2,4500000,1
50,19,3,2800000,0
150,27,4,12000000,1
350,24,5,16000000,0
80,20,2,2200000,1
250,26,3,10000000,0
40,7,1,70000,0
500,32,5,42000000,1
70,23,2,3400000,1
200,25,3,9000000,0
125,21,3,6500000,1
90,24,2,3800000,0
300,26,5,22000000,1
150,20,3,4500000,0
20,6,1,30000,0
400,30,5,40000000,1
100,24,3,5000000,0
60,23,1,800000,1
175,26,4,7500000,0
250,27,5,23000000,1
50,7,2,1100000,1
300,25,3,8000000,0
90,22,2,2800000,1
175,27,3,9000000,1
400,28,5,34000000,0
70,9,2,1000000,0
120,24,3,4000000,1
200,26,4,14000000,0
30,8,1,120000,1
500,33,5,45000000,1
100,23,3,5000000,0
50,21,1,900000,1
250,24,4,10000000,0
150,26,3,7500000,1
300,27,4,21000000,0
75,29,2,4500000,1
250,25,5,14000000,1
30,21,1,800000,0
450,28,4,23000000,1
100,24,2,3400000,0
175,26,3,8500000,1
400,27,5,33000000,0
50,20,2,1900000,1
80,23,2,3400000,0
300,29,4,15000000,1
200,24,4,8500000,0
25,19,1,550000,1
600,30,5,39000000,1
120,23,3,4000000,0
90,26,2,4800000,1
50,20,3,3000000,0
150,28,4,13000000,1
350,25,5,17000000,0
80,21,2,2500000,1
250,27,3,11000000,0
40,6,1,60000,0
500,34,5,44000000,1
70,24,2,3600000,1
200,26,3,9500000,0
125,22,3,7000000,1
90,25,2,4200000,0
300,27,5,24000000,1
150,21,3,4800000,0
20,5,1,20000,0
400,31,5,42000000,1
100,25,3,5500000,0
60,24,1,1000000,1
175,27,4,8000000,0
250,28,5,25000000,1
50,6,2,1200000,1
300,26,3,7500000,0
90,23,2,3000000,1
175,28,3,9500000,1
400,29,5,36000000,0
70,8,2,1500000,0
120,25,3,4200000,1
200,27,4,15000000,0
30,7,1,100000,1
500,35,5,48000000,1
100,24,3,5500000,0
50,22,1,1000000,1
250,25,4,11000000,0
150,27,3,8000000,1
300,28,4,23000000,0
75,30,2,4800000,1
250,26,5,15000000,1
30,22,1,900000,0
450,29,4,25000000,1
100,25,2,3700000,0
175,27,3,9000000,1
400,28,5,35000000,0
50,21,2,2000000,1
80,24,2,3700000,0
300,30,4,16000000,1
200,25,4,9000000,0
25,20,1,600000,1
600,31,5,41000000,1
120,24,3,4200000,0
90,27,2,5100000,1
50,21,3,3200000,0
150,29,4,14000000,1
350,26,5,18000000,0
80,22,2,2800000,1
250,28,3,12000000,0
40,5,1,50000,0
500,36,5,46000000,1
70,25,2,3800000,1
200,27,3,10000000,0
125,23,3,7500000,1
90,26,2,4400000,0
300,28,5,26000000,1
150,22,3,5000000,0
20,4,1,10000,0
400,32,5,44000000,1
100,26,3,6000000,0
60,25,1,1100000,1
175,28,4,8500000,0
250,29,5,27000000,1
50,5,2,1300000,1
300,27,3,8500000,0
90,24,2,3200000,1
175,29,3,10000000,1
400,30,5,37000000,0
70,7,2,2000000,0
120,26,3,4400000,1
200,28,4,16000000,0
30,6,1,140000,1
500,37,5,49000000,1
100,25,3,6000000,0
50,23,1,1100000,1
250,26,4,12000000,0
150,28,3,8500000,1
300,29,4,25000000,0
75,31,2,5100000,1
250,27,5,16000000,1
30,23,1,1000000,0
450,30,4,27000000,1
100,26,2,4000000,0
175,28,3,9500000,1
400,29,5,37000000,0
50,22,2,2100000,1
80,25,2,4000000,0
300,31,4,17000000,1
200,26,4,9500000,0
25,21,1,650000,1
600,32,5,43000000,1
120,25,3,4400000,0
90,28,2,5400000,1
50,22,3,3400000,0
150,30,4,15000000,1
350,27,5,19000000,0
80,23,2,3100000,1
250,29,3,13000000,0
40,4,1,40000,0
500,38,5,48000000,1
70,26,2,4000000,1
200,28,3,10000000,0
125,24,3,8000000,1
90,27,2,4800000,0
300,29,5,28000000,1
150,23,3,5000000,0
20,3,1,5000,0
400,33,5,46000000,1
100,27,3,6500000,0
60,26,1,1200000,1
175,29,4,9000000,0
250,30,5,29000000,1
50,4,2,1400000,1
300,28,3,9000000,0
90,25,2,3400000,1
175,30,3,10000000,1
400,31,5,38000000,0
70,6,2,2500000,0
120,27,3,4600000,1
200,29,4,17000000,0
30,5,1,160000,1
500,39,5,50000000,1
100,26,3,6500000,0
50,24,1,1200000,1
250,27,4,13000000,0
150,29,3,9000000,1
300,30,4,27000000,0
75,32,2,5400000,1
250,28,5,17000000,1
30,24,1,1100000,0
450,31,4,29000000,1
100,27,2,4300000,0
175,29,3,10000000,1
400,30,5,39000000,0
50,23,2,2200000,1
80,26,2,4300000,0
300,32,4,18000000,1
200,27,4,10000000,0
25,22,1,700000,1
600,33,5,45000000,1
120,26,3,4600000,0
90,29,2,5700000,1
50,23,3,3600000,0
150,31,4,16000000,1
350,28,5,20000000,0
80,24,2,3400000,1
250,30,3,14000000,0
40,3,1,30000,0
500,40,5,51000000,1
70,27,2,4200000,1
200,29,3,11000000,0
125,25,3,8500000,1
90,28,2,4900000,0
300,30,5,30000000,1
150,24,3,5500000,0
20,2,1,3000,0
400,34,5,48000000,1
100,28,3,7000000,0
60,27,1,1400000,1
175,30,4,9500000,0
250,31,5,31000000,1
50,3,2,1600000,1
300,29,3,9500000,0
90,26,2,3500000,1
175,31,3,10500000,1
400,32,5,40000000,0
70,5,2,3000000,0
120,28,3,4800000,1
200,30,4,18000000,0
30,4,1,120000,1
500,41,5,52000000,1
100,27,3,7000000,0
50,25,1,1300000,1
250,28,4,14000000,0
150,30,3,9500000,1
300,31,4,29000000,0
75,33,2,5700000,1
250,29,5,18000000,1
30,25,1,1200000,0
450,32,4,31000000,1
100,28,2,4600000,0
175,30,3,10500000,1
400,31,5,41000000,0
50,24,2,2300000,1
80,27,2,4600000,0
300,33,4,19000000,1
200,28,4,10500000,0
25,23,1,800000,1
600,34,5,47000000,1
120,27,3,4800000,0
90,30,2,6000000,1
50,24,3,3800000,0
150,32,4,17000000,1
350,29,5,21000000,0
80,25,2,3700000,1
250,31,3,15000000,0
40,2,1,20000,0
500,42,5,54000000,1
70,28,2,4400000,1
200,30,3,12000000,0
125,26,3,9000000,1
90,29,2,5200000,0
300,31,5,32000000,1
150,25,3,6000000,0
20,1,1,1000,0
400,35,5,49000000,1
100,29,3,7500000,0
60,28,1,1500000,1
175,31,4,10000000,0
250,32,5,33000000,1
50,2,2,1800000,1
300,30,3,10000000,0
90,27,2,3600000,1
175,32,3,11000000,1
400,33,5,42000000,0
70,4,2,3500000,0
120,29,3,5000000,1
200,31,4,19000000,0
30,3,1,80000,1
500,43,5,57000000,1
100,28,3,7500000,0
50,26,1,1400000,1
250,29,4,15000000,0
150,31,3,10000000,1
300,32,4,31000000,0
75,34,2,6000000,1
250,30,5,19000000,1
30,26,1,1300000,0
450,33,4,33000000,1
100,29,2,4900000,0
175,31,3,11000000,1
400,32,5,43000000,0
50,25,2,2400000,1
80,28,2,4900000,0
300,34,4,20000000,1
200,29,4,11000000,0
25,24,1,900000,1
600,35,5,49000000,1
120,28,3,5000000,0
90,31,2,6300000,1
50,25,3,4000000,0
150,33,4,18000000,1
350,30,5,22000000,0
80,26,2,3900000,1
250,32,3,16000000,0
40,1,1,10000,0
500,44,5,56000000,1
70,29,2,4600000,1
200,31,3,13000000,0
125,27,3,9000000,1
90,30,2,5500000,0
300,32,5,34000000,1
150,26,3,6500000,0
20,0,1,0,0
400,36,5,50000000,1
100,30,3,8000000,0
60,29,1,1600000,1
175,32,4,10500000,0
250,33,5,35000000,1
50,1,2,2000000,1
300,31,3,10500000,0
90,28,2,3700000,1
175,33,3,11500000,1
400,34,5,45000000,0
70,3,2,4000000,0
120,30,3,5200000,1
200,32,4,20000000,0
30,2,1,100000,1
500,45,5,58000000,1
100,29,3,8000000,0
50,27,1,1500000,1
250,30,4,16000000,0
150,32,3,10500000,1
300,33,4,33000000,0
75,35,2,6300000,1
250,31,5,20000000,1
30,27,1,1400000,0
450,34,4,35000000,1
100,30,2,5200000,0
175,32,3,11500000,1
400,33,5,44000000,0
50,26,2,2500000,1
80,29,2,5200000,0
300,35,4,21000000,1
200,30,4,11500000,0
25,25,1,1000000,1
600,36,5,51000000,1
120,29,3,5200000,0
90,32,2,6600000,1
50,26,3,4200000,0
150,34,4,19000000,1
350,31,5,23000000,0
80,27,2,4100000,1
250,33,3,17000000,0
40,0,1,0,0
500,46,5,59000000,1
70,30,2,4800000,1
200,32,3,14000000,0
125,28,3,9500000,1
90,31,2,5800000,0
300,33,5,36000000,1
150,27,3,7000000,0
20,1,1,0,0
400,37,5,51000000,1
100,31,3,8500000,0
60,30,1,1700000,1
175,33,4,11000000,0
250,34,5,37000000,1
50,0,2,2200000,1
300,32,3,11000000,0
90,29,2,3800000,1
175,34,3,12000000,1
400,35,5,46000000,0
70,2,2,4500000,0
120,31,3,5400000,1
200,33,4,21000000,0
30,1,1,60000,1
500,47,5,60000000,1
100,30,3,8500000,0
50,28,1,1600000,1
250,31,4,17000000,0
150,33,3,11000000,1
300,34,4,35000000,0
75,36,2,6600000,1
250,32,5,21000000,1
30,28,1,1500000,0
450,35,4,37000000,1
100,31,2,5500000,0
175,33,3,12000000,1
400,34,5,47000000,0
50,27,2,2600000,1
80,30,2,5500000,0
300,36,4,22000000,1
200,31,4,12000000,0
25,26,1,1100000,1
600,37,5,53000000,1
120,30,3,5400000,0
90,33,2,6900000,1
50,27,3,4400000,0
150,35,4,20000000,1
350,32,5,24000000,0
80,28,2,4300000,1
250,34,3,18000000,0
40,1,1,0,0
500,48,5,62000000,1
70,31,2,5100000,1
200,33,3,15000000,0
125,29,3,10000000,1
90,32,2,6100000,0
300,34,5,38000000,1
150,28,3,7500000,0
20,2,1,0,0
400,38,5,52000000,1
100,32,3,9000000,0
60,31,1,1800000,1
175,34,4,11500000,0
250,35,5,39000000,1
50,1,2,2400000,1
300,33,3,11500000,0
90,30,2,4000000,1
175,35,3,12500000,1
400,36,5,48000000,0
70,3,2,5000000,0
120,32,3,5600000,1
200,34,4,22000000,0
30,0,1,40000,1
500,49,5,63000000,1
100,31,3,9000000,0
50,29,1,1700000,1
250,32,4,18000000,0
150,34,3,11500000,1
300,35,4,37000000,0
75,37,2,6900000,1
250,33,5,22000000,1
30,29,1,1600000,0
450,36,4,39000000,1
100,32,2,5800000,0
175,34,3,12500000,1
400,35,5,49000000,0
50,28,2,2700000,1
80,31,2,5800000,0
300,37,4,23000000,1
200,32,4,12500000,0
25,27,1,1200000,1
600,38,5,55000000,1
120,31,3,5600000,0
90,34,2,7200000,1
50,28,3,4600000,0
150,36,4,21000000,1
350,33,5,25000000,0
80,29,2,4600000,1
250,35,3,19000000,0
40,2,1,0,0
500,50,5,64000000,1
70,32,2,5400000,1
200,34,3,16000000,0
125,30,3,10500000,1
90,33,2,6400000,0
300,35,5,40000000,1
150,29,3,8000000,0
20,3,1,0,0
400,39,5,53000000,1
100,33,3,9500000,0
60,32,1,1900000,1
175,35,4,12000000,0
250,36,5,41000000,1
50,2,2,2600000,1
300,34,3,12000000,0
90,31,2,4100000,1
175,36,3,13000000,1
400,37,5,50000000,0
70,4,2,5500000,0
120,33,3,5800000,1
200,35,4,23000000,0
30,1,1,20000,1
500,51,5,65000000,1
100,32,3,9500000,0
50,30,1,1800000,1
250,33,4,19000000,0
150,35,3,12000000,1
300,36,4,39000000,0
75,38,2,7200000,1
250,34,5,23000000,1
30,30,1,1700000,0
450,37,4,41000000,1
100,33,2,6100000,0
175,35,3,13000000,1
400,36,5,51000000,0
50,29,2,2800000,1
80,32,2,6100000,0
300,38,4,24000000,1
200,33,4,13000000,0
25,28,1,1300000,1
600,39,5,57000000,1
120,32,3,5800000,0
90,35,2,7500000,1
50,29,3,4800000,0
150,37,4,22000000,1
350,34,5,26000000,0
80,30,2,5000000,1
250,36,3,20000000,0
40,3,1,0,0
500,52,5,66000000,1
70,33,2,5700000,1
200,35,3,17000000,0
125,31,3,11000000,1
90,34,2,6700000,0
300,36,5,42000000,1
150,30,3,8500000,0
20,4,1,0,0
400,40,5,54000000,1
100,34,3,10000000,0
60,33,1,2000000,1
175,36,4,12500000,0
250,37,5,43000000,1
50,3,2,2800000,1
300,35,3,12500000,0
90,32,2,4300000,1
175,37,3,13500000,1
400,38,5,52000000,0
70,5,2,6000000,0
120,34,3,6000000,1
200,36,4,24000000,0
30,2,1,50000,1
500,53,5,67000000,1
100,33,3,10000000,0
50,31,1,1900000,1
250,34,4,20000000,0
150,36,3,12500000,1
300,37,4,41000000,0
75,39,2,7500000,1
250,35,5,24000000,1
30,31,1,1800000,0
450,38,4,43000000,1
100,34,2,6400000,0
175,36,3,13500000,1
400,37,5,53000000,0
50,30,2,2900000,1
80,33,2,6400000,0
300,39,4,25000000,1
200,34,4,13500000,0
25,29,1,1400000,1
600,40,5,59000000,1
120,33,3,6000000,0
90,36,2,7800000,1
50,30,3,4900000,0
150,38,4,23000000,1
350,35,5,27000000,0
80,31,2,5400000,1
250,37,3,21000000,0
40,4,1,0,0
500,54,5,68000000,1
70,34,2,5800000,1
200,36,3,18000000,0
125,32,3,11500000,1
90,35,2,7100000,0
300,37,5,44000000,1
150,31,3,9000000,0
20,5,1,0,0
400,41,5,55000000,1
100,35,3,10500000,0
60,34,1,2100000,1
175,37,4,13000000,0
250,38,5,45000000,1
50,4,2,3000000,1
300,36,3,13000000,0
90,33,2,4500000,1
175,38,3,14000000,1
400,39,5,54000000,0
70,6,2,6500000,0
120,35,3,6200000,1
200,37,4,25000000,0
30,3,1,80000,1
500,55,5,69000000,1
100,34,3,10500000,0
50,32,1,2000000,1
250,35,4,21000000,0
150,37,3,13000000,1
300,38,4,43000000,0
75,40,2,7800000,1
250,36,5,25000000,1
30,32,1,1900000,0
450,39,4,45000000,1
